symbol,security_type,exchange,name,category,unit,trading_suspended,disposition_level,attention_flag,settlement_type,reference,update_date,source,retrieved_at
3485,STK,OTC,敘豐,28,1000.0,False,0.0,False,0,202.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.269238
3489,STK,OTC,森寶,14,1000.0,False,0.0,False,0,23.8,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.269803
3490,STK,OTC,單井,26,1000.0,False,1.0,True,0,46.8,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.269803
3491,STK,OTC,昇達科,27,1000.0,False,0.0,False,0,1225.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.269803
3492,STK,OTC,長盛,28,1000.0,False,0.0,False,0,20.05,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.269803
3498,STK,OTC,陽程,31,1000.0,False,1.0,True,0,190.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.270820
3499,STK,OTC,環天科,27,1000.0,False,0.0,False,0,12.75,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.270820
3508,STK,OTC,位速,31,1000.0,False,0.0,True,0,22.75,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.270820
3511,STK,OTC,矽瑪,28,1000.0,False,0.0,False,0,19.35,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.270820
3512,STK,OTC,皇龍,14,1000.0,False,0.0,False,0,19.7,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.270820
3516,STK,OTC,亞帝歐,26,1000.0,False,0.0,False,0,25.35,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.270820
3520,STK,OTC,華盈,28,1000.0,False,0.0,False,0,18.25,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.270820
3521,STK,OTC,台鋼建設,14,1000.0,False,0.0,False,0,12.1,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.272375
3522,STK,OTC,御嵿,16,1000.0,False,0.0,False,0,11.65,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.272375
3523,STK,OTC,迎輝,26,1000.0,False,0.0,False,0,15.05,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.272375
3526,STK,OTC,凡甲,28,1000.0,False,0.0,False,0,283.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.272375
3527,STK,OTC,聚積,24,1000.0,False,0.0,False,0,51.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.272375
3529,STK,OTC,力旺,24,1000.0,False,0.0,False,0,2260.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.272375
3531,STK,OTC,先益,26,1000.0,False,0.0,False,0,21.8,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.272375
